Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
101,Relax,496,488,2147483647,9,9,18,101
102,Relax,496,233,2147483647,9,264,273,102
103,Relax,496,492,2147483647,12,5,17,103
104,Relax,496,494,2147483647,5,3,8,104
105,Relax,496,245,2147483647,4,252,256,105
106,Relax,496,247,2147483647,3,250,253,106
107,Relax,496,249,2147483647,18,248,266,107
108,Pop,494,,,,,,106
109,Relax,494,257,15,6,240,246,107
110,Relax,494,1,2147483647,10,496,506,108
111,Relax,494,2,2147483647,8,495,503,109
112,Relax,494,8,2147483647,11,489,500,110
113,Relax,494,264,2147483647,6,233,239,111
114,Relax,494,266,2147483647,8,231,239,112
115,Relax,494,19,2147483647,23,478,501,113
116,Relax,494,275,20,15,222,237,114
117,Relax,494,21,2147483647,17,476,493,115
118,Relax,494,23,2147483647,22,474,496,116
119,Relax,494,25,2147483647,20,472,492,117
120,Relax,494,37,2147483647,14,460,474,118
121,Relax,494,41,2147483647,22,456,478,119
122,Relax,494,46,2147483647,16,451,467,120
123,Relax,494,47,2147483647,9,450,459,121
124,Relax,494,303,2147483647,10,194,204,122
125,Relax,494,48,2147483647,21,449,470,123
126,Relax,494,305,2147483647,11,192,203,124
127,Relax,494,306,2147483647,8,191,199,125
128,Relax,494,50,2147483647,21,447,468,126
129,Relax,494,307,2147483647,23,190,213,127
130,Relax,494,55,2147483647,25,442,467,128
131,Relax,494,321,2147483647,24,176,200,129
132,Relax,494,67,2147483647,19,430,449,130
133,Relax,494,323,2147483647,19,174,193,131
134,Relax,494,70,2147483647,21,427,448,132
135,Relax,494,82,2147483647,25,415,440,133
136,Relax,494,83,2147483647,23,414,437,134
137,Relax,494,84,2147483647,19,413,432,135
