Step,Action,Node,QueueState,VisitedSet
51,Enqueue,57,"[38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57]","[5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 59, 61]"
52,Enqueue,58,"[38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58]","[5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
53,Enqueue,23,"[38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23]","[5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 17, 81, 82, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
54,Dequeue,38,"[92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23]","[5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 17, 81, 82, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
55,Enqueue,0,"[92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 17, 81, 82, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
56,Dequeue,92,"[14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 17, 81, 82, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
57,Enqueue,80,"[14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
58,Dequeue,14,"[59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
59,Enqueue,19,"[59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 57, 58, 59, 61]"
60,Enqueue,46,"[59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 46, 54, 57, 58, 59, 61]"
61,Enqueue,87,"[59, 32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 46, 54, 57, 58, 59, 61]"
62,Dequeue,59,"[32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 46, 54, 57, 58, 59, 61]"
63,Enqueue,51,"[32, 70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 57, 58, 59, 61]"
64,Dequeue,32,"[70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51]","[0, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 57, 58, 59, 61]"
65,Enqueue,4,"[70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4]","[0, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 57, 58, 59, 61]"
66,Enqueue,28,"[70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28]","[0, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 57, 58, 59, 61]"
67,Enqueue,33,"[70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33]","[0, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 33, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 57, 58, 59, 61]"
68,Enqueue,56,"[70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56]","[0, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 33, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 56, 57, 58, 59, 61]"
69,Enqueue,60,"[70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60]","[0, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 33, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 56, 57, 58, 59, 60, 61]"
70,Enqueue,64,"[70, 34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64]","[0, 64, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 33, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 56, 57, 58, 59, 60, 61]"
71,Dequeue,70,"[34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64]","[0, 64, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 33, 98, 34, 36, 38, 40, 42, 43, 46, 51, 54, 56, 57, 58, 59, 60, 61]"
72,Enqueue,47,"[34, 96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47]","[0, 64, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 33, 98, 34, 36, 38, 40, 42, 43, 46, 47, 51, 54, 56, 57, 58, 59, 60, 61]"
73,Dequeue,34,"[96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47]","[0, 64, 4, 5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 80, 17, 81, 82, 19, 23, 87, 26, 91, 92, 28, 29, 32, 96, 97, 33, 98, 34, 36, 38, 40, 42, 43, 46, 47, 51, 54, 56, 57, 58, 59, 60, 61]"
74,Enqueue,35,"[96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 51, 54, 56, 57, 58, 59, 60, 61, 64, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
75,Enqueue,48,"[96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 54, 56, 57, 58, 59, 60, 61, 64, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
76,Enqueue,53,"[96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 64, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
77,Enqueue,62,"[96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
78,Enqueue,68,"[96, 6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
79,Dequeue,96,"[6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
80,Enqueue,18,"[6, 43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
81,Dequeue,6,"[43, 5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
82,Dequeue,43,"[5, 13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
83,Dequeue,5,"[13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
84,Enqueue,77,"[13, 12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 77, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
85,Dequeue,13,"[12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 68, 70, 72, 75, 76, 77, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
86,Enqueue,66,"[12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 79, 80, 81, 82, 87, 91, 92, 96, 97, 98]"
87,Enqueue,88,"[12, 57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66, 88]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 79, 80, 81, 82, 87, 88, 91, 92, 96, 97, 98]"
88,Dequeue,12,"[57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66, 88]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 79, 80, 81, 82, 87, 88, 91, 92, 96, 97, 98]"
89,Enqueue,78,"[57, 58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66, 88, 78]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 78, 79, 80, 81, 82, 87, 88, 91, 92, 96, 97, 98]"
90,Dequeue,57,"[58, 23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66, 88, 78]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 78, 79, 80, 81, 82, 87, 88, 91, 92, 96, 97, 98]"
91,Dequeue,58,"[23, 0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66, 88, 78]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 78, 79, 80, 81, 82, 87, 88, 91, 92, 96, 97, 98]"
92,Dequeue,23,"[0, 80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66, 88, 78]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 78, 79, 80, 81, 82, 87, 88, 91, 92, 96, 97, 98]"
93,Dequeue,0,"[80, 19, 46, 87, 51, 4, 28, 33, 56, 60, 64, 47, 35, 48, 53, 62, 68, 18, 77, 66, 88, 78]","[0, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 32, 33, 34, 35, 36, 38, 40, 42, 43, 46, 47, 48, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 64, 66, 68, 70, 72, 75, 76, 77, 78, 79, 80, 81, 82, 87, 88, 91, 92, 96, 97, 98]"
