Step,Action,Node,QueueState,VisitedSet
48,Enqueue,63,"[73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
49,Dequeue,73,"[42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
50,Dequeue,42,"[57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
51,Enqueue,8,"[57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8]","[65, 68, 71, 8, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
52,Enqueue,36,"[57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36]","[65, 68, 71, 8, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
53,Enqueue,76,"[57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76]","[65, 68, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
54,Dequeue,57,"[58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76]","[65, 68, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
55,Enqueue,66,"[58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66]","[65, 66, 68, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
56,Dequeue,58,"[23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66]","[65, 66, 68, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
57,Dequeue,23,"[52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66]","[65, 66, 68, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
58,Dequeue,52,"[29, 92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66]","[65, 66, 68, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
59,Dequeue,29,"[92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66]","[65, 66, 68, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
60,Enqueue,70,"[92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
61,Enqueue,75,"[92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
62,Enqueue,96,"[92, 48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
63,Dequeue,92,"[48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
64,Enqueue,80,"[48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 57, 58, 62, 63]"
65,Enqueue,54,"[48, 53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
66,Dequeue,48,"[53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
67,Enqueue,24,"[53, 71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
68,Dequeue,53,"[71, 74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
69,Dequeue,71,"[74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24]","[65, 66, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
70,Enqueue,2,"[74, 85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2]","[65, 66, 2, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
71,Dequeue,74,"[85, 32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2]","[65, 66, 2, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
72,Dequeue,85,"[32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2]","[65, 66, 2, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
73,Enqueue,3,"[32, 88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3]","[65, 66, 2, 3, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
74,Dequeue,32,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3]","[65, 66, 2, 3, 68, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
75,Enqueue,4,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4]","[65, 66, 2, 3, 68, 4, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
76,Enqueue,0,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0]","[0, 65, 66, 2, 3, 68, 4, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
77,Enqueue,33,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33]","[0, 65, 66, 2, 3, 68, 4, 70, 71, 8, 73, 10, 74, 75, 12, 76, 78, 15, 16, 80, 81, 85, 23, 88, 24, 27, 28, 92, 93, 29, 94, 95, 32, 96, 33, 34, 35, 36, 42, 47, 48, 52, 53, 54, 57, 58, 62, 63]"
78,Enqueue,56,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56]","[0, 2, 3, 4, 8, 10, 12, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 47, 48, 52, 53, 54, 56, 57, 58, 62, 63, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96]"
79,Enqueue,60,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60]","[0, 2, 3, 4, 8, 10, 12, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96]"
80,Enqueue,64,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64]","[0, 2, 3, 4, 8, 10, 12, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96]"
81,Enqueue,98,"[88, 47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98]","[0, 2, 3, 4, 8, 10, 12, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
82,Dequeue,88,"[47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98]","[0, 2, 3, 4, 8, 10, 12, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
83,Enqueue,44,"[47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44]","[0, 2, 3, 4, 8, 10, 12, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
84,Enqueue,13,"[47, 63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13]","[0, 2, 3, 4, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
85,Dequeue,47,"[63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13]","[0, 2, 3, 4, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 32, 33, 34, 35, 36, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
86,Enqueue,31,"[63, 8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31]","[0, 2, 3, 4, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 31, 32, 33, 34, 35, 36, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
87,Dequeue,63,"[8, 36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31]","[0, 2, 3, 4, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 31, 32, 33, 34, 35, 36, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
88,Dequeue,8,"[36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31]","[0, 2, 3, 4, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 31, 32, 33, 34, 35, 36, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
89,Enqueue,5,"[36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31, 5]","[0, 2, 3, 4, 5, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 31, 32, 33, 34, 35, 36, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
90,Enqueue,38,"[36, 76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31, 5, 38]","[0, 2, 3, 4, 5, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 31, 32, 33, 34, 35, 36, 38, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
91,Dequeue,36,"[76, 66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31, 5, 38]","[0, 2, 3, 4, 5, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 31, 32, 33, 34, 35, 36, 38, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
92,Dequeue,76,"[66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31, 5, 38]","[0, 2, 3, 4, 5, 8, 10, 12, 13, 15, 16, 23, 24, 27, 28, 29, 31, 32, 33, 34, 35, 36, 38, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
93,Enqueue,26,"[66, 70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31, 5, 38, 26]","[0, 2, 3, 4, 5, 8, 10, 12, 13, 15, 16, 23, 24, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 38, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
94,Dequeue,66,"[70, 75, 96, 80, 54, 24, 2, 3, 4, 0, 33, 56, 60, 64, 98, 44, 13, 31, 5, 38, 26]","[0, 2, 3, 4, 5, 8, 10, 12, 13, 15, 16, 23, 24, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 38, 42, 44, 47, 48, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 78, 80, 81, 85, 88, 92, 93, 94, 95, 96, 98]"
